country,price,rating,size_of_site,total_pitches,caravns,sea,lake,river,mountain,Height,next_city,transport
France,15.0,4.7,,49.0,Not available,,,,,,,
France,18.0,4.7,2.3,152.0,Not available,On,,,No,5.0,13,
France,25.0,4.7,2.5,126.0,Not available,,10,On site,,,,
France,25.0,4.7,1.6,70.0,Not available,25,25,2 km,No,300.0,9,1
France,18.0,4.7,4,49.0,Not available,,,On site,No,,12,12
Netherlands,17.0,4.7,1,20.0,,,,,No,,20,1
Netherlands,25.0,4.7,16,152.0,,,On,On site,No,,15,3
Netherlands,32.0,4.7,25,320.0,,,,,No,,15,0.1
Netherlands,17.0,4.7,15,370.0,,25,On,,No,,10,2
Netherlands,39.0,4.7,11,300.0,Not available,,,,No,,,1.5
Netherlands,19.0,4.7,0.5,28.0,Not available,,,,No,,8,0.5
Portugal,13.0,4.7,,,,,,,Yes,,,0.4
Belgium,21.0,4.7,12,350.0,Not available,,,,Yes,,,
Germany,27.0,4.7,1.6,100.0,Not available,On,,,No,,12,1
Germany,20.0,4.7,3,35.0,Not available,,,,Yes,430.0,4,0.5
Austria,26.0,4.7,1.5,19.0,Available,,,,Yes,1044.0,60,0.2
Hungary,14.0,4.7,0.6,20.0,,,0.3,,No,,6,1
Hungary,17.0,4.7,28,100.0,,,On,,,,2,0.5
Hungary,20.0,4.7,2,100.0,,,1,1.5 km,No,80.0,15,1
Spain,62.0,4.7,15,,Not available,0.4,,,,,2,0.05
Spain,23.0,4.7,1,135.0,,0.5,,,No,,,0.3
Spain,21.0,4.7,100,100.0,Not available,64,,On site,Yes,438.0,On,0.5
Spain,29.0,4.7,,312.0,,On,,,,,3.5,0.3
Spain,21.0,4.7,100,100.0,Not available,64,,On site,Yes,438.0,On,0.5
Spain,29.0,4.7,,312.0,,On,,,,,3.5,0.3
Germany,17.0,4.7,,,Not available,,,On site,No,,,
Italy,56.0,4.7,9,264.0,Not available,1,,,No,10.0,4,0.5
Germany,20.0,4.7,6,50.0,Not available,,,20 km,Yes,280.0,40,7
Switzerland,23.0,4.7,1.2,30.0,,,25,1 km,Yes,,30,0.5
France,15.0,4.7,1,14.0,,,,,,,10,10
Italy,31.0,4.7,1,100.0,,0.05,,,,,4,0.05
Hungary,23.0,4.7,2,24.0,Not available,,On,,No,,24,0.5
Switzerland,36.0,4.7,,180.0,,,,0.3 km,No,598.0,8,3
Italy,30.0,4.7,0.7,14.0,,10,,0.2 km,,100.0,10,0.4
Germany,29.0,4.7,7.5,90.0,Not available,18,On,,No,5.0,16,6
Poland,15.0,4.7,,300.0,,,,,,,,
Germany,28.0,4.7,11,,Not available,,On,,No,,8,2
Croatia,22.0,4.7,0.7,70.0,,0.2,,,No,,0.5,0.25
Austria,24.0,4.7,55,64.0,,,3,0.5 km,Yes,800.0,1,On
